all print will write to path record/postgresql/TPCH/execute_sql
====================start time: 2022-08-09-11:35:22====================
read 220 queries from ./db_benchmark_datasets/TPCH
try to load plan latency dict
load plan latency dict failed
1/220 query, 21_5.sql the 0 hint set, execute latency 89.90678s, current 1 unique plans
1/220 query, 21_5.sql the 1 hint set, execute latency 89.90678s, current 1 unique plans
1/220 query, 21_5.sql the 2 hint set, execute latency 66.64009s, current 2 unique plans
exe error
1/220 query, 21_5.sql the 3 hint set, execute latency 3001.16838s, current 3 unique plans
1/220 query, 21_5.sql the 4 hint set, execute latency 23.16811s, current 4 unique plans
exe error
1/220 query, 21_5.sql the 5 hint set, execute latency 3001.32388s, current 5 unique plans
1/220 query, 21_5.sql the 6 hint set, execute latency 23.16811s, current 5 unique plans
1/220 query, 21_5.sql the 7 hint set, execute latency 23.16811s, current 5 unique plans
1/220 query, 21_5.sql the 8 hint set, execute latency 66.64009s, current 5 unique plans
1/220 query, 21_5.sql the 9 hint set, execute latency 3001.16838s, current 5 unique plans
1/220 query, 21_5.sql the 10 hint set, execute latency 23.16811s, current 5 unique plans
1/220 query, 21_5.sql the 11 hint set, execute latency 23.16811s, current 5 unique plans
1/220 query, 21_5.sql the 12 hint set, execute latency 3001.32388s, current 5 unique plans
1/220 query, 21_5.sql the 13 hint set, execute latency 23.16811s, current 5 unique plans
1/220 query, 21_5.sql the 14 hint set, execute latency 23.16811s, current 5 unique plans
1/220 query, 21_5.sql the 15 hint set, execute latency 89.90678s, current 5 unique plans
1/220 query, 21_5.sql the 16 hint set, execute latency 66.64009s, current 5 unique plans
1/220 query, 21_5.sql the 17 hint set, execute latency 3001.16838s, current 5 unique plans
1/220 query, 21_5.sql the 18 hint set, execute latency 23.16811s, current 5 unique plans
1/220 query, 21_5.sql the 19 hint set, execute latency 23.16811s, current 5 unique plans
1/220 query, 21_5.sql the 20 hint set, execute latency 3001.32388s, current 5 unique plans
1/220 query, 21_5.sql the 21 hint set, execute latency 23.16811s, current 5 unique plans
1/220 query, 21_5.sql the 22 hint set, execute latency 23.16811s, current 5 unique plans
